BSE_Code,Company_Name,BSE_Verified,NSE_Code,Sector,Industry
532955,REC LIMITED,532955,RECLTD,Financial Services,Financial Services
532321,Zydus Lifesciences Limited,532321,ZYDUSLIFE,Healthcare,Healthcare
500104,Hindustan Petroleum Corporation Ltd,500104,HINDPETRO,Energy,"Oil, Gas & Consumable Fuels"
544285,SWIGGY LIMITED,544285,SWIGGY,Consumer Discretionary,Consumer Services
533179,Persistent Systems Limited,533179,PERSISTENT,Information Technology,Information Technology
543904,Mankind Pharma Limited,543904,MANKIND,Healthcare,Healthcare
540133,ICICI Prudential Life Insurance Company Limited,540133,ICICIPRULI,Financial Services,Financial Services
540691,Aditya Birla Capital Ltd,540691,ABCAPITAL,Financial Services,Financial Services
500096,Dabur India Ltd.,500096,DABUR,Fast Moving Consumer Goods,Fast Moving Consumer Goods
522275,GE Vernova T&D India Limited,522275,GVT&,Industrials,Capital Goods
544277,Waaree Energies Limited,544277,WAAREEENER,Industrials,Capital Goods
533148,JSW Energy Limited,533148,JSWENERGY,Utilities,Power
517354,Havells India Limited,517354,HAVELLS,Consumer Discretionary,Consumer Durables
544162,Bharti Hexacom Limited,544162,BHARTIHEXA,Telecommunication,Telecommunication
503806,SRF Ltd.,503806,SRF,Commodities,Chemicals
544600,Lenskart Solutions Limited,544600,LENSKART,Consumer Discretionary,Consumer Services
544289,NTPC GREEN ENERGY LIMITED,544289,NTPCGREEN,Utilities,Power
533098,NHPC Limited,533098,NHPC,Utilities,Power
532777,Info Edge(India) Ltd.,532777,NAUKRI,Consumer Discretionary,Consumer Services
544252,Bajaj Housing Finance Limited,544252,BAJAJHFL,Financial Services,Financial Services
543396,One 97 Communications Limited,543396,PAYTM,Financial Services,Financial Services
543390,PB Fintech Limited,543390,POLICYBZR,Financial Services,Financial Services
500493,Bharat Forge Ltd,500493,BHARATFORG,Consumer Discretionary,Automobile and Auto Components
543066,SBI CARDS AND PAYMENT SERVICES LIMITED,543066,SBICARD,Financial Services,Financial Services
544632,Meesho Limited,544632,MEESHO,Consumer Discretionary,Consumer Services
533106,Oil India Limited,533106,OIL,Energy,"Oil, Gas & Consumable Fuels"
543384,FSN E-Commerce Ventures Limited,543384,NYKAA,Consumer Discretionary,Consumer Services
540699,Dixon Technologies (India) Limited,540699,DIXON,Consumer Discretionary,Consumer Durables
533519,L&T Finance Limited,533519,LTF,Financial Services,Financial Services
540611,AU Small Finance Bank Limited,540611,AUBANK,Financial Services,Financial Services
524804,Aurobindo Pharma Ltd.,524804,AUROPHARMA,Healthcare,Healthcare
526371,NMDC Ltd,526371,NMDC,Commodities,Metals & Mining
532779,TORRENT POWER LIMITED,532779,TORNTPOWER,Utilities,Power
512455,Lloyds Metals and Energy Limited,512455,LLOYDSME,Commodities,Metals & Mining
532149,Bank of India,532149,BANKINDIA,Financial Services,Financial Services
532539,UNO Minda Limited,532539,UNOMINDA,Consumer Discretionary,Automobile and Auto Components
532388,Indian Overseas Bank,532388,IOB,Financial Services,Financial Services
532187,IndusInd Bank Ltd.,532187,INDUSINDBK,Financial Services,Financial Services
532667,SUZLON ENERGY LTD.,532667,SUZLON,Industrials,Capital Goods
532843,Fortis Healthcare Ltd,532843,FORTIS,Healthcare,Healthcare
